,Sikayet Icerigi
726,"2 yıl önce aldığım Homend marka çay makinesi, robot süpürge ve kahve makinesi sırayla bozuldu. Servis sorunu çok fazla ulaşılamıyor. İyi marka diye her şeyi Homend aldık ama bakalım kalan ürünler ne zaman bozulacak! Bir kere daha satış sonrası servisin önemini anladık!"
727,Hayırlı akşamlar 1 ay önce Trendyol üzerinden Xiaomi s10t robot süpürge aldım. Bu ürün saç kıllarını kesip aldığı için tercih sebebim oldu. Ancak ürün 1 ay geçmedi saçları kesip kesip etrafa bırakmaya başladı para iademin yapılmasını istiyorum yoksa gerekli mercilere şikayetlerimi ileteceğim
730,Ziraat Bankası yasal takip sürecinde olan kredi kartı yapılandırma işlemi yapamıyorum artık o şehirde yaşamadığım için telefondan şubeye ulaşamıyorum. Telefonla bağladıkları zaman meşgule attıkları için bir sonuca varamıyorum gerekli çözümün yapılmasını istiyorum.
731,"Yanlışlıkla abonelik aldım ve kartımdan 400 TL miktarda para çektiler. İptal ettim, paramı geri iade istiyorum. Ücretsiz deneme yapacaktım, yanlışlıkla abonelik almışım. Bu nasıl bir saçmalık? Geri alamayacak mıyım paramı ben şimdi? 1 gün bile geçmedi aradan, iptal ettim ama hala yok."
732,27 Haziran 2021 tarihinde aldığım ürün hâlâ daha kurye bekleniyor diyor. Teslim süresi 3-5 gün içerisinde diyor ve bugün süresi doldu. Ben bu kadar kötü işleyen bir e-ticaret uygulaması görmedim. Bir daha sizden alışveriş yapılmayacağını anladım. Epttavm yazan kargo siteye bulaşmayacağım.
734,Her gün elektrikler kesiliyor maalesef teknisyenleriniz çok zayıf. Günde 20 defa kesiliyor. Yıllardır şikayet ediyorum ama sürekli altyapı çalışmalarımız devam ediyor diyorsunuz. Vallahi hi bıktım sizden. Bu işi yapamıyorsunuz. Bitmeyen kesintiler sürekli gelip giden elektrikler
736,"Gürbüzoğulları'ndan koltuk takımı aldım, en ufak silmeyle dahi deforme oldu. İlk silmemde bir de kendi kendine leke oluşuyor. Nubuk kumaştan hiç memnun kalmadım. Hatanızı telafi etmenizi istiyorum. Bir sürü para verip ne zorluklarla alıyoruz. Biz sonuç olarak..."
737,"HGS borcunun icraya düştüğünü öğrendik, aracın satışını yapamadık. Avukat, İstanbul 5. İcra Dairesi'ne borcu kapattığımızı söyledi. Cuma günü ödediğimiz borç halen daha düşmedi. İstanbul 5. İcra Dairesi'ni arıyoruz, telefonlara cevap vermiyorlar. Buradaki icra dairesi, 'Benim buradan yapacak bir şeyim yok' diyor. Nasıl bir şey anlamadım."
739,"Bozuk ürün gönderildi, değişim için ne kurye gönderiliyor ne de iletişim sağlanıyor. 3 kere şikayet kaydı oluşturulmasına rağmen hiçbir gelişme ve geri dönüş sağlanmıyor. Ürün bir deniz ürünü fark etmesek yiyip zehirlenebilirdik. Gerçekten yazık günah."
741,"Ürün cildime alerji yaptı. Önce ısındı cildim, sonra kabardı, ödem topladı ve kızardı. Firmadan ve ürünlerden şikayetçiyim. Kesinlikle mahvoldu cildim. İnşallah düzelir. Firmayı, cildim geçmezse mahkemeye vereceğim, bilginiz olsun. İnsan sağlığı ile böyle oynamayın. Cilt bu, ona göre satış yapın, mağdur etmeyin insanı."
743,"Cooker marka termos aldım geçen sene, çok az kullanıp sağlam bir yere kaldırdım. Kullandığım zaman sorun yoktu, birkaç ay sonra tekrar bugün çıkarıp kullandım, sıcaklığı anında dışarı verdi. Bu üçüncü termosum oldu. Toplamda 3 ay kullanmadan atıl oluyorlar."
746,"Bunlar yanlış adrese gidecek, çok dedim taşındım, yokum, iptal dedim, etmiyorlar. Geri gelecek, iptal olacak, yazmaktan bıktım artık. Çok büyük terbiyesizlik yaptıklarınız, iptal etmiyorlar. Yalnız adrese gidecek, yokum orada, gelecek geri. Olmaz ki böyle, müşterinizim sizin."
747,"Ve World Cargo. Müşterileri tarafından sürekli aranıyorum, kargom nerede diye. Daha önce de sürekli her gün, günde 10-15 kere aranıyordum. Savcılığa suç duyurusunda bulundum, bir ara kesildi. Şu anda arada bir yine aranıyorum. Bizim numaramızı kullanmışlar. Bunun artık bir son bulmasını istiyorum."
748,"PTT Kargo iki gündür siparişimde bir değişiklik yok. Cumartesi kargoya verildi ama yarın çarşamba olacak,3 iş günü olacak hala yok. Yarın da gelecek gibi görünmüyor. Kargom nerede şu an? Güncelleme yok bir gündür. Lütfen kargomu ulaştırın çarşamba günü, şehir değişikliği yapacağım ve acil gerekli."
750,"S**** K****** isimli kişi, Tasarım Organizasyon adlı şirketi ile beni mağdur etti. Ürünün ücretini yatırdım ancak ürünler gönderilmedi ve telefonlara cevap verilmedi. Instagram'da Tasarım Organizasyon adıyla sipariş alıp insanları mağdur ediyorlar. Yazıklar olsun."
752,"Metropol kartım var ama ne zaman kullanmak istesem ya uygulamaya giremiyorum ya da bakiyem olmasına rağmen bakiye yetersiz diyor. Böyle yemek kartı mı olur? Şaka mı? Kullanmak isteyenler birkaç kez düşünsün. Tam kasaya geliyoruz, rezil oluyoruz. O utanç duygusunu siz idrak edin."
753,Migros siparişimi iptal ettiler para mi iade etmediler. Üstüne başka sipariş verdim aradılar beni dediler ki elimizde istediğiniz bir ürün yok onunda ayrı iadesi yapılmadı aranılıp bir dönüş bile yapılmadı. Sizden ricam en kısa zaman da iki ürünüm ile ilgili de para iadesi yapılması
756,"Monster Tulpar T7 V20.1 bilgisayarım hiçbir problem ve sorun yokken birden açılmamaya başladı. Çok temiz kullanılan bir bilgisayar, 1 ay içinde 2-3 kere maksimum açılıyor, geri kalan sürelerde kapalı ve temiz bir şekilde duruyor. Sorun neden kaynaklanıyor? Çözüm istiyorum."
757,"Turkcell Superonline ev interneti kullanıyoruz. 1 haftadır internet kesik. Sebebini sorduğumuzda kablo kesik gibi bahaneler sunulmakta. Fakat hiçbir çözüm sunulmamakta, internet kullanamıyoruz. Gerekli çözümün sunulmasını, mağduriyetin giderilmesini istiyorum."
758,Hayırlı akşamlar 1 ay önce Trendyol üzerinden Xiaomi s10t robot süpürge aldım. Bu ürün saç kıllarını kesip aldığı için tercih sebebim oldu. Ancak ürün 1 ay geçmedi saçları kesip kesip etrafa bırakmaya başladı para iademin yapılmasını istiyorum yoksa gerekli mercilere şikayetlerimi ileteceğim
759,"Zara'dan online aldığım ürünümün 27'sinde geleceği yazıyordu ama ayın 2'si oldu hala yok ve iletişim kanalları tamamen kapalı. Telefonlara asla cevap vermiyorlar. WhatsApp hattı zaten benim de yaptığım şeylere yönlendiriyor. İnanılmaz bir durum, ürünüme ulaşamıyorum. Sorunuma çözüm istiyorum."
764,18.06 da aldığım bileti iptal etmeme rağmen hala iade gerçekleşmedi. Aradığımda müşteri temsilcisine ulaşamıyorum. Bilet alma kısmında telefon 2 dakikada açılıyor iptal etme kısmında 40 dakika beklememe rağmen asla ulaşamadım. İnsanları nasıl böyle mağdur edebiliyorsunuz?
765,"Yatırım hesabımda bulunan Kboru pay senedine ait, 26 Haziran'da yapılan temettü ödemesini hesabımda göremiyorum. Akyatırımdan yatırılmıştır diye mail gelmesine rağmen hesaplarımda bulunmamaktadır. Söz konusu olan 83.08 TL'nin akıbeti hakkında bilgi istiyorum. Saygılarımla."
767,Dün A101 den Birşah marka süt aldım ama içinden çıkan şey beni şaşırttı. Bu nasıl bir şey artık çocuğuma süt içirecek miyim. Gerçekten A101 de bunu yapıyorsa. Umarım bu günden sonra oradan alışveriş yapmayı keseceğim... Bu nasıl bir şey kime güvenelim
769,"Superonline faturam çok yüksek tutarda 1,356 TL geldi öncesinde herhangi bir bilgilendirme olmadığı gibi müşteri hizmetleri her defasında fatura detayımı gönderdiğini söyleyip hiçbir detay paylaşılmadı. Bu fatura ve aboneliğimin iptalini yapmak istiyorum"
776,"İhlali Geçiş Bildirimi 34 DB 8738 plakalı aracıma ait 1192925607 numaralı HGS hesabımda 378,65 TL tutar olmasına rağmen, 01/07/2024 tarihinde 21:18:50 Bursa Batı Çıkışında HGS hesabımdan 330,00 TL düşülmeyerek e-Devlet hesabımda ihlali geçiş olarak gözükmektedir."
777,Carrefour SA dan kurban almak için 161840010 numaralı siparişle büyükbaş aldım. Yapı Kredi Bankası kartına indirim yazmasına rağmen indirim yapılmadı. Her sene kurbanı aldıktan sonra hesap ekstremize indirim otomatik olarak indirim yapılıyordu.
780,Pia Yapı Dekor Instagram sitesi bahçe mobilyası için ödemeyi yaptıktan sonra engellemiştir. İsmi i*** m*** olup sözde Samsun Atakum'da adres belirtmiştir. İlgili şikayet için bütün kanallar savcılıkta dahil olmak üzere arkasında duracağım.
787,"Aktif İleti kesin teslim tarihi belirtilmiş, üzerinden birkaç gün geçmiş ve hatta bölgede ve dağıtımda görünmesine rağmen QNB kartımı teslim etmiyor. Banka ve internet siteleri üzerinden talepte bulunduğum halde bir dönüş de olmadı. Bu kurye sorunları yüzünden kart almaya korkar oldum."
789,Tinder da yaşanan uygulama sorunu sebebiyle hesap silmek istiyorum ama hesap silinmedi hatası alıyorum. Eşleşmede sorun oluyor kimseyi göremiyorum eşleşme olmuyor. Eşleşme hakkı artmıyor. Lütfen ya uygulama düzgün çalışsın ya da hesabımı silin... ...
795,Türk Telekom uygulaması üzerinden 30.06.2024 tarihinde yeni nesil fiks paket talimatı gerçekleştirdim. 48 saat oldu hala fiks paket hattıma tanımlanmadı. Müşteri temsilcisi bu konuda hiçbir şekilde yardımcı olmuyor. Konuyla İlgili mağduriyet yaşamaktayım
796,"Hepsipay hesabıma 6 bin TL limit verdi ama hesabımı doğrulamadığı için kullanamıyorum. Canlılık kontrolünde defalarca red veriyor. Doğrulamıyor. Uygulama üzerinden müşteri hizmetlerinden destek istiyorum. Yardımcı olunmuyor. Cidden bir şey demiyorum artık, görselde attığım gibi defalarca aynı hataları veriyor."
797,"Fenerbahçe kombine yenilemede uygulama sürekli hata veriyor, yardımlarınızı bekliyorum. Öncelikli alım hakkımı Taraftar kart ile de temsilci üye olarak da yapmak istesem de aynı hatayı alıyorum. Bu sorunun bir an önce çözülerek alım hakkımı kaybetmek istemiyorum."
798,"Son 3 gündür ne Youtube.com ne de Chrome'da internet çekmiyor. Boşa mı aylık para ödüyoruz? Ev interneti çok kötü, acilen çözüm bulmalılar. 5 senelik Vodafone kullanıcısıyım. Son 2 senedir illallah ettirdiler, ne oldu bu şirkete bilmiyorum. Önceden çok iyiydi. Vodafone internet sıkıntısı çözülmeli."
799,"Merhaba, haberim olmadan Iyzico Amazon firması kartımdan 15.999 TL para çekmiştir. Bu işlem bana ait değildir. Hiçbir harcama yapmadım, ivedilikle çözülmesini istiyorum. Çok acil dönüş bekliyorum. Bu kadar büyük bir firmanın sorumluluk alması gerekir. Bu kadar şikayet var."
804,Ata AÖF 1 2 haziranda görev yaptığım
809,"02-07-2024 20.30 otobüsüne kardeşimin staj dosyasını vermek için gittim. 4 adet A4 parçasını Gaziantep Nizip'ten Samsun'a götürmeye 350₺ istedi. Gerçekten Mis Amasya'nın öğrenciye verdiği değer bu kadar mı? Yanımda o kadar para yoktu, biraz indirim yapamaz mısın dediğimde 'Paran yoksa gönderme' dedi."
812,"Obilet sitesi üzerinden kredi kartımla otobüs bileti alırken doğrulama SMS'i sonrası sayfa hata verdi, işlemleri tekrar ettiğimde bileti onayladı fakat kredi kartımdan 2 defa çekim yaptı. Hatalı çekimin geri iadesinin yapılmasını istiyorum ama konu ile alakalı Obilet müşteri hizmetlerine ulaşılamıyor."
813,"G***** K****, para kazandırdığını iddia ederek 10 bin TL karşılığında özel grubuna aldı. Verdiği kağıtlarla beni çok zarara uğrattı. Kendisine bunu yazdığımda beni her yerden engelledi. Asla inanılmaması gereken bir insandır, hiçbir bilgisi ve deneyimi yoktur."
815,"BİM'den aldığım Luxell Airfryer dijital ekran arızalı, yarım gösteriyor. Bayramda kullanmak zorunda kalınca BİM, servise götürün dedi. Keşke mağazalar kendileri servise verse, bana uzak. Servis bekliyorum hala. Adana Yeşilyurt Mahallesi'nde en yakın servis nerede acaba? Eve gelirler mi ürüne bakmaya? Bilgi verir misiniz?"
816,"Novar Bayraklı şubesi gerçekten içler acısı. Birbirinden asık yüzlü danışanlar, asla bitmeyen sıra. Sıra geldiğinde ilgilenilmemesi, komple lazer dört dakika sürmez, onlar sığdırıyor. Kontrol seansı bir dakika. Bu sondu, bir daha hiçbirini görmek istemiyorum..."
817,TurkNet müşteri hizmetlerini arayınca açmıyor ve abone edene kadar her türlü arıyorlar abone olduktan sonra telefonları dahi açmıyorlar. Teknik destek talebine geri dönüş yapılmıyor internetleride çekmiyor. Uygulamadan oluşturduğumuz teknik destek talebine bile geri dönüş yapılmıyor Müşteri memnuniyeti 0.
820,Us polodan ayakkabı siparişi verdim. Büyük olduğu için iade kodu alıp Aras Kargo ile iade ettim ürün firmaya teslim edilmesin rağmen iade edilmedi ve ücretim yatırılmadı. Tam 19 gün bekledim belki bir gecikme olmuştur diye ama hala bir gelişme yok. Ne yapmalıyım
821,Tatil paketi satın almıştık ama inanın tam anlamıyla rezil. Kuaför çok amatör dış çekim fotoğraflarının efektinden bahsedersek eğer kendi ten rengimi tanınmayacak kadar kötüydü Kesinlikle kimseye önermiyorum ve baştan sona kadar tüm her şey kötüydü. Kesinlikle ama kesinle çok acemilik vardı kimseye önermiyorum
822,"Arkadaşlar, internette bir site var, Instagram'da reklamları çıkıyor. Buradan bir tıraş makinesi aldım, daha ilk tıraş olmamda şarjı bitti. Şarja takayım dedim, şarj olmuyor. Gönderin dediler, servis kontrol etsin dediler. Adamlara yazıyorum, ne arayan var ne dönen. Ben pişman oldum."
823,"2023 yılında ben de saç ekimi yaptım Ö*** K***'da, 11. ay oldu. %30 bile tutmadı, görselliğe aldandım, parayı aldıktan sonra ilgi alaka zaten sıfır. Benim umudum vardı, sizler umutlanmayın Ö*** K*** ile. Instagram profiline kandım, pişman oldum."
824,VakıfBank sky limitim olmasına rağmen esnek hesabımı işleminizi bu kanaldan gerçekleştiremiyoruz diyerek arttıramıyorum acilen arttırılmasını talep ediyorum. Yaklaşık 1.5 aydır bu hatayla karşılaşıyorum en ihtiyacım var en kısa sürede ilgilenilmesini talep ediyorum
825,TurkNet aboneliğim 2-3 aydır var. Engelli raporumu belirttiğim ve dosya yüklediğim halde engelli tarifesini uygulamadılar. Defalarca şikayet talebi destek talebi oluşturduğum halde asla iletişime geçemedim. Abonelik oluşturulurken kolaylıkla ulaşabiliyordum abonelik oluşturduktan sonra ulaşabilmek imkansız maalesef. Acilen şikayetimin giderilmesini ve ekstra alınan paramın iade edilmesini istiyorum.
826,"Ben 8885,9786057361936,9786258476347, 9786052330517 ürünlerini sipariş verdim fakat benim kargom 10 gündür hazırlanıyor diyor. Kargoya bir an önce verilmesini rica ediyorum. Ayrıca ürünü nasıl iptal edeceğim bunun hakkında da bilgi sahibi değilim. Kitapların bir an önce kargoya verilmesini veya kitap paramın ibanıma yatmasını istiyorum"
827,"QNB Finansbank bankasının sloganı olan ""Bizce Mümkün"" kesinlikle doğru bir slogan, Çünkü böyle bir kötü deneyimi başka bir banka yaşatmaz. Şikayeti özetliyorum ve ek dosyasına da banka tarafından yapılan bilgilendirmeyi iletiyorum."
828,"Hepsiburada.com üzerinden ürün satın aldım ve hiç kullanmadan iade ettim. Ürünü iade edeli 1 haftadan fazla oldu. Satıcıya ulaşalı da 1 hafta oldu fakat iade beklemede, hiçbir şekilde sonuçlanmadı. Ücret iademin yapılması konusunda destek rica ediyorum."
830,"Türk Telekom sabit internet 2 aydır yok, tamir ediliyor denilip hep başka tarihe atıyorlar. Yıl 2024 olmuş, bir arızayı giderip tamir edemediler ve çok mağdur ettiler. Arıyorum, ulaşamıyorum. Dönüş sağlanmıyor. Dönüş sağlanmasını ve sorunumun giderilmesini istiyorum."
836,"16.04.2024 tarihinde genç teknoloji desteğe başvurdum hala başvuru durumu güncelleniyor diyor yaklaşık dört olacak ama hala sonuçlanmadı. Neden böyle oldu, para yatacak mı, yatacaksa ne zaman yatar? Neden bu kadar uzun süre bekletiyorlar her seferinde takip etmek durumunda kalıyorum anında yapılsa ne olacak yani."
837,Toshiba 58UA2063DT marka televizyonum birden izlerken ekran mosmor olup gitti. Bu kadar kısa sürede televizyonumun bozulması ciddi anlamda moralimizi bozdu. Acilen iletişime geçilmesini istiyorum. Bu ayıbın ortadan kalkmasını sağlamak zorundasınız. Aksi takdirde şikayette bulunacağım.
838,"E Kuralkan sitesinden bir parça aldım. NS 125'in parçasını sipariş ettim, parça geldi. Kutunun üstünde de NS 125 yazıyordu. Kutuyu açtım, gelen parça farklıydı. NS 200 parçası gelmiş. Ben özellikle NS 125 parçası sipariş ettim. Motor şu an o parça olmadığı için hiçbir şekilde çalışmıyor."
839,"Dün WhatsApp ve Telegram üzerinden, ımdb sitesi üzerinden fragman izleyerek para kazanabileceğimi belirten bir mesaj aldım. İstenen IBAN bilgilerimle ilgili yaşanabilecek yanıltma riskine karşı, rızam olmadan adıma yapılacak herhangi bir işlem, borçlanma, alım-satımlardan kesinlikle sorumlu olmadığımı buradan beyan ediyorum."
842,"TRT, halkın vergileri ile ve devletin katkısı ile ayakta duran tarafgir TRT, yayıncılıkta vatandaşa maç yayınları ile ilgili zulüm üstüne zulüm yapmaktadır. Kanal frekansı ve benzeri sorunları bırakıp adam gibi yayın yapmayı öğrenin. Neden az seyirci kitleniz olduğu malum."
845,"VakıfBank internet bankacılığına giriş yapamıyorum. Şifrem doğru olmasına rağmen giriş yapılamıyor. İlerlediğim zaman 'Hesabınız güvenlik nedeniyle kapatılmıştır. En yakın şubeye gidin' diyor. Şubeye gidiyorum, şubede de çözemiyorlar, müşteri hizmetlerini arayın diyorlar. Orayı arıyorum, tekrar şubeye yönlendiriyorlar. Yardımcı olmanızı istiyorum."
846,ÖSYM ön lisans için mobil bankacılıktan ödeme yapmaya çalışıyorum. Saatlerdir olmuyor. Şu an işleminiz gerçekleştirilmiyor. Sonra deneyin diyor. ATM'den denediğimde T.C. hatalı ya da yanlış diyor. Bu nasıl bir şey ben anlamadım. Neden rahatlıkla başvurumuzu bile yapamıyoruz? Lütfen bu sorun giderilsin.
848,"Sitenize yatırım yaptım ama beklediğim hizmeti alamadım. Sadece oyun oynamaktı maksadım ama benden daha fazla miktar istediler. Çok bir şey değildi ama neden böyle olduğunu bilmiyorum. Güncel site diyerek yatırım yaptım, oyuna giriş yapamadım. Bir de üstüne üstlük fazlasını istediler."
860,Nişanım için fotoğraf hizmeti aldım. Mekanda bulunan köpeğin benden daha çok fotoğrafı var. Hiçbiri pozlanmamış ışık ayarı yok asla ortalanmamış. Konukların fotoğrafı yok. Bir de üstüne dönüş yapmıyorlar. Peşin peşin ödeme alıyorlar nakit. Yazıklar olsun insanların özel gününü bu kadar küçümseyip rezil etmenize.
863,Turkcell'den kurumsal hatlarımın borçları var. Turkcell bu borçları SYS Alacak diye bir alacak şirketine devretmiş. Turkcell müşteri hizmetleri bir telefon numarası verdi ve bu numarayı abartısız 15 gündür arıyorum cevap veren yok. Turkcell gibi bir kurumsal firmaya yakışmıyor böyle şeyler. Sorunuma çözüm bulunmasını istiyorum.
866,Şırnak şubesinden ihtarname gelmiş kredi kartıma ödemek istiyorum. Uygulamada gözükmüyor. İhtarnameyi yiyen kartın borcunu nereye ödeyeceğimizi bari o kağıt parçasında yazsaydınız. Şubeye gidip mi ödeyeceğiz? İlla hesabın açılmış olduğu şubeye gitmek mi gerekiyor?
867,"Merhaba, birer saat arayla rötar yapılıyor. Muhatap olunacak kimse yok. Daha önce mağduriyeti şikayet etmedim, pişmanım. Şu an gerekli her yerden haklarımı arayacağım. Saat 12'den sonra toplu taşıma yok, havaalanında sabahlamak istemiyorum. Bunun bir yaptırımı olmalı."
869,"Obilet'ten bilet alırken hata oldu. Paramı aldılar, biletimi göndermediler. Müşteri hizmetlerine bağlanılamıyor, direkt suratımıza kapanıyor. Telefonla aradığımda geri verin ya da biletimi verin. Düzgün iş yapamıyorsanız bırakın bu işi. Sizin yüzünüzden binlerce insan bu şikayetle geliyor. Paramı iade edin. Beni arayın 0535*****86."
872,Tahtakale spot Üçgen mah. Dolapdere şubesinde tarihi geçmiş ürünler satılıyor ve iade almak istemiyorlar. Çalışanlar yardımcı olmak isterken Müdür bey ise çözüm bulmak yerine baştan savmak için bayağı çaba gösteriyor ve başarılı da oluyor...
875,"Hepsiburada'dan yaptığım alışveriş, Ayvalık Sürat Kargo tarafından eve teslim edilmiyor. Gerekçe olarak genel merkezlerinin anlaşmasının olmadığını belirtiyorlar. Hepsiburada ile görüştüğümde, genel merkez ile görüştüklerini belirtiyorlar. Tüketici haklarında hakkımı arayacağım. Sürat Kargo bu kadar müşteriyi uğraştırarak sadece tercih edilmezsin, işin varacağı yer burası olur."
877,A101 aldığım Piranha lehim havyası ni satarak vatandaşın zamanını boş yere meşgul ediyorsunuz. 40 yıllık elektronikçiyim yani ne diyeyim kontrol etmeden vb. Nasıl satışa sunuluyor.!? Paramızı iade ediniz. Sevgili üretici uzatmayın bu kadar neyi kontrol ediyorsunuz... Araba alıp kullanıp iade istemedik...
878,02 Temmuz 2024 tarihinde Bakırköy Yeşilyurt Onur Market'ten müşterilere layık gördükleri kaliteli! Karpuz alırken iki kere düşüneceğim artık. Resmen eve kadar taşıdım ve yaşadığım mağduriyet o kadar para veriyoruz üstüne kalitesiz mal alıyorsun. Yazıklar olsun mağduriyetim giderilsin.
879,"Mervenakyüz'den iki ürün sipariş etmiştim. Kalitesiz bulduğum için iade ettim. 14 günlük cayma hakkım varken, 'prosedürlerimizde sadece değişim var' deyip ücret iademi gerçekleştirmediler. İadeye hakkım olduğunu söylediğim halde, sadece değişim yapıyoruz diye diretiyorlar."
882,Eski bir hesabım var kapanmasını istiyorum. Şifremi ve e-postamı bilmiyorum. Bana yardımcı olur musunuz? Lütfen çok şikayet filan ettim ama kapanmıyor. Videolar var kapanması lazım. Yardımcı olun lütfen. Eski ortak hesabımız bu hesaptaki fotoğraflar kullanılarak adıma fake hesaplar açılıyor kendi adıma hesap açamıyorum
883,Teknosa dan Preo marka hava soğutucu satın aldım içine buzlu sular da koysam buz küpleri de atsam işe yaramıyor. Oda dışarıdan daha sıcak oluyor. O kadar sesli çalışıyor ki televizyon bile izlenmiyor. İade etmek için hiçbir kolaylık sağlanmıyor. Ve y
884,Aynı sorunu bende yaşıyorum maalesef su haznesinde su olmasına rağmen su haznesi boş uyarısı veriyor ne yapmam gerekiyor çözüm bulan oldu mu? Sonra otomatik olarak mama suyu sıcaklığına geçiyor. Ürünü alalı çok olmadı garanti kapsamında servise mi göndermek gerekiyor? Nasıl bir yol izlemeli
887,"Vodafone ev internetini nakil ettirdim. Türk Telekom ekibi pazartesi günü sabah geldi. Sağ olsun interneti kurdu ama Vodafone bir türlü onay vermedi. En büyük işi Türk Telekom yapıyor, zamanında geliyor. Bir tek onay işini Vodafone yapamıyor. 24 saat gelir dediler, 48 saat oldu."
889,"Özel Altınçağ Anaokulu Bağcılar. F**** Hanım, yeğenim hareketli bir çocuk olduğundan 'sizin çocuk özel bir çocuk' diyerek bizi okuluna kayıt olarak almıyorlar. F**** Hanım'ın güler yüzüne hiçbir şekilde önemsemeyin. Çocuğunuzu bu okula yazdırırken doğru karar vermiş lütfen."
891,"Arkadaşımın Payfix hesabına para attım. 643 TL açıklamasız direkt PayFix'in Albaraka IBAN'ına gönderdim ama arkadaşıma hâlâ gelmiş değil. Mağdur oluyoruz. Neden böyle yapılıyor anlamış değilim. İlk kez PayFix'e para gönderiyorum, yanlış bir şey mi yaptım acaba?"
893,4 Ocak 2024'de Dekopasaj firmasının sitesinden şifoniyer almıştım. Ancak ürün satıcının başka sitede sattığı gerekçesiyle firma tarafından iptal edildi. Ancak firma yakın zamanda para iadesinin gerçekleşeceğini söylemesine rağmen yaklaşık 1.5 ay geçti param iade edilmedi. Paramın iade edilmesini istiyorum.
894,Kocaeli Darıca'dan çocuk diş doktoruna aylardır randevu alamıyorum. 6 yaşındaki çocuğumun 3 tane azı dişine dolgu yapılması gerekiyor. Özelde tek diş 1000 TL'yi geçiyor. Acil randevu alma kolaylığı istiyorum. Talep bile açılmıyor. Acil çözüm istiyorum. Hiçbir şekilde randevu alamıyorum.
897,Yağmur ve özer endüstriyel firmasından çiğköfte dolabı yaptırdık. Motor gazları ve halatları kopuk geldi. Kendilerine söylediğimde siz yaptırın biz karşılarız dediler. Ve karşılamaları da gerekiyor. 1 seneyi geçti oyalayıp duruyorlar. Telefonları açmıyorlar. İşlerini kesinlikle düzgün yapmıyorlar.
898,Benim de hesabımı yazıp bu ekran görüntüsü ile arkadaşlarınızdan mesajlar geliyor ve 'seni şikayet etmişler' diye konuya girip size link atıyorlar. Arkadaşlarınızın bu şekilde mesajları yanıltıcıdır. Aynı profil resmi ile yüzlerce şikayet var. Şikayetçi olacağım.
902,"19.06.2024 tarihinde Akbank ATM'si 9900 TL paramı yuttu. İlgili yerleri aradım, yardımcı olmadılar. Şubeye gittim, çağrı merkezine yönlendirdiler. Çağrı merkezi şubeye yönlendirdi. Döngüye soktular. En son şube şikayet oluşturdu. 25.06.2024 tarihinde hâlâ cevap bekliyoruz. ATM para sayımı da yapıldı. Şu an kullanılıyor ATM."
905,"Mattvip Eva Oto Paspas firmasından aracıma paspas siparişi verdim. 18 gündür gönderim sağlanmadı. Telefonlara cevap verilmiyor. Mesajlarda kargonuz verildi diye yalan söylüyorlar. Hep bir oyalama, kesinlikle alışveriş yapılmaması gereken bir firma. Paramızla rezil olmak böyle bir şey!"
906,"Vivense den şifonyer ve dolap aldık. Şifonyerin çoğu parçası hasarlı çizik. Dış kaplaması soyulmuş bir de boyanmış. Teşhir ürünü almış gibiyiz, ürün kalitesiyle ilgili büyük problem var. Ayrıca kesinlikle firmayla telefonda iletişim kurulmuyor. Ne müşteri hizmetlerine ne de kurulum ekibine ulaşılıyor."
907,"2021 yılında tavanı orijinal yazılan aracımda satarken yapılan ekspertizde kuru çekiç ile düzeltme olduğu anlaşıldı. Defalarca aramama rağmen tarafıma geri dönüş yapılmadı, hep aynı hikaye, inceleyeceğiz, ilgili arkadaşa ileteceğiz vesaire. Oco pişmanlıktır."
908,Ankara-İstanbul tren biletime uygun saatte gelmiş olmama rağmen 17.13'de olan trenim 17.50'de geldi. Tren saatimden çok daha önce beklemeye başladığımı da hesaba katarsak bugün oldukça mağdur oldum. Daha önce de yaşamış olduğum bu duruma bir çözüm bulunmasını rica ediyorum.
909,"Satın almış olduğum sunucu hizmeti devreye alınmadı. Defalarca WhatsApp'tan yazmama, Discord sunucularından yazmama hatta destek sisteminden ticket atmış olmama rağmen olumlu bir dönüş alamadım. Sürekli yoğunluk var, bugün dedilerse gün daha bitmedi şeklinde dönüş yaptılar."
911,"Ben böyle bir şey görmedim. Gerçekten kurye kapıyı bulamadı, bir kere bile aramadan poşeti geri koydu, gidiyordu. Ben görmesem ve 4 saat sonunda teslim olan siparişin haline bakın. Böyle bir durum görmedim. Verilen paraya yazık. İlk defa buradan sipariş verdim ve bu son oldu."
913,"Polatlı şubesinde her gelen garson siparişimizi alıp hemen getiriyorum diyor, masada sizi bekletiyor. 4 kişiye siparişi verip aynı 4 kişiye tekrar sormamıza rağmen, hemen geliyor diyen gidiyor. 1 saat bekledikten sonra köfteye kavuşamadan ayrıldım, sıfır servis."
917,QNB Finansbank kredi kartımdan harcama itirazında bulunmuştum. Yaklaşık 3-4 ay oldu ve hala sonuçlanmadı. Tutar kartıma iade edilmedi. Bankayı aradığım zaman işlemleriniz devam ediyor söyleniyor. Ödemelerim var ödemelerimi yapamıyorum mağdur durumdayım. Finans bankası çok yavaş bir kuruluş. Lütfen en kısa sürede sonuçlanmasını arz ederim.
